property_type,legal_status,num_floors,num_bedrooms,road_width_m,width_m,length_m,price_vnd,area_m2,dining_room_bin,kitchen_bin,terrace_bin,car_parking_bin,locality_square,locality_population_density,distance_to_center_km,nearest_school_km,school_count_3km,nearest_hospital_km,hospital_count_5km,nearest_marketplace_km,marketplace_count_3km,nearest_supermarket_km,supermarket_count_3km,nearest_mall_km,mall_count_3km,nearest_bus_stop_km,bus_stop_count_1km,nearest_metro_km
0,1,2.0,3.0,4.5,5.0,11.0,3200000000.0,57.0,1,1,1,1,15.33,5.021,3.808504175625029,0.6561629916851701,62.0,0.9356213880345662,21.0,0.452628431051221,11.0,0.7671058558033097,31.0,0.7439168201610871,5.0,0.1672563295946353,34.0,0.6992062452147358
0,1,3.0,4.0,5.0,4.0,16.0,3550000000.0,67.0,1,1,1,1,3.89,29.851,4.830279547129328,0.4546188265738125,68.0,2.09692714628374,25.0,0.3925950736002273,10.0,0.2625190817205464,31.0,1.755268654940006,3.0,0.3091537925683889,27.0,2.800769620458555
0,1,3.0,3.0,4.0,4.0,10.0,2550000000.0,42.0,1,1,1,1,3.32,38.042,3.264396056580376,0.3794630627180807,123.0,0.100952310609225,50.0,0.5710065775580956,16.0,0.1258520980565644,56.0,2.7638253675101256,1.0,0.0667909539900285,52.0,2.403813928596662
0,1,3.0,6.0,12.0,10.0,17.0,24500000000.0,163.0,0,0,0,0,3.32,38.042,4.202321468557608,0.2202501673737321,87.0,1.5550980429283674,32.0,0.7468330873878049,13.0,0.5478025259914606,40.0,2.21783237774113,2.0,0.1727714337468706,36.0,2.281088647126971
0,1,1.0,2.0,6.0,7.0,22.0,11950000000.0,150.0,0,0,0,1,2.62,24.485,4.796422182944646,0.5477714107224352,116.0,0.5675619804281183,51.0,1.2172085411490003,19.0,0.8418102528504364,33.0,0.7893998809406549,9.0,0.084249296743144,42.0,5.010827876935172
0,1,3.0,3.0,5.0,4.932882862316247,14.798648586948742,6900000000.0,73.0,0,0,0,0,10.71,14.324,10.824229645045197,0.1607286984459868,47.0,0.1079660194605544,11.0,1.170755498106601,10.0,1.1427051405552078,8.0,2.7733717716475783,1.0,0.0,33.0,3.580435261686453
0,1,1.0,3.0,6.0,4.5,16.0,1370000000.0,72.0,1,1,1,1,8.93,17.419,8.22902867929692,0.3679501099283108,91.0,1.784658440835391,39.0,0.3664336643123712,25.0,1.5981998810104383,9.0,1.539368194035441,2.0,0.0263962665257618,25.0,5.088364417881627
0,1,1.0,3.0,5.0,5.0,19.2,1450000000.0,96.0,1,1,0,1,10.47,16.441,11.76164048661673,0.5747938644851489,30.0,1.799016503759358,12.0,1.4423387261400278,17.0,1.2678734454764424,3.0,2.1134658149488894,1.0,0.242589893679991,28.0,5.088364417881627
0,1,2.0,2.0,5.0,4.2,8.0,4900000000.0,32.0,1,1,0,0,10.55,7.971,5.682194134463854,0.0799859916335122,46.0,1.0253293631656697,17.0,1.0280218722588397,4.0,0.7002314959823946,12.0,0.7749267425907229,2.0,0.3046748936027109,15.0,5.088364417881627
0,1,3.0,4.0,3.0,8.0,7.5,5400000000.0,61.0,1,1,1,1,1.17,53.859,2.382144886034937,0.2360547937893554,104.0,0.6505481048673509,76.0,0.3070856773666843,24.0,0.0882151600202477,73.0,1.3012583070727557,17.0,0.0387249694418875,58.0,1.8627497051808448
0,1,3.0,2.0,3.0,3.0,4.5,2900000000.0,14.0,1,1,1,0,1.07,88.324,1.5356222393016543,0.1893203843328586,136.0,0.4521827602373815,86.0,0.1914338303823577,35.0,0.1465927601062752,88.0,0.3724392043097209,18.0,0.1126593090259439,104.0,0.8602726116609686
0,1,2.0,3.0,6.0,5.5,18.0,8600000000.0,99.0,1,1,1,1,3.81,31.76,9.212011402428958,0.1800485094868158,58.0,1.8635618212033755,13.0,0.510191229424158,7.0,0.9797113935948903,14.0,3.61830155682341,0.0,0.4394888743758249,13.0,5.088364417881627
