link,title,post_day,street,old_address,locality,region,listing_id,direction,listing_type,property_type,legal_status,num_floors,num_bedrooms,road_width_m,width_m,length_m,price_vnd,area_m2,dining_room_bin,kitchen_bin,terrace_bin,car_parking_bin,owner_listing_bin,locality_square,locality_population_density
https://alonhadat.com.vn/mat-tien-duong-rong-a4-khu-k300-khong-co-can-thu-2-so-sanh-chi-20-5-ty-quan-tan-binh--18814283.html,"Mặt tiền đường rộng  A4, Khu K300, không có căn thứ 2 so sánh, chỉ 20.5 tỷ, Quận Tân Bình.",2026-06-20,đường k300,"Đường K300, Phường 12, Quận Tân Bình, Hồ Chí Minh (cũ)",phường bảy hiền,hồ chí minh,18814283,unknown,can_ban,nha_mat_tien,so_hong_so_do,3.0,6.0,20.0,4.5,18.0,20500000000.0,89.0,0,0,0,0,0,"2,86",46.242
https://alonhadat.com.vn/ban-nha-mt-ly-thuong-kiet-tan-binh-4x25m-cn-88-6m-4-tang-gia-chi-31-ty-17828718.html,"Bán Nhà MT Lý Thường Kiệt, Tân Bình - 4x25m - CN 88,6m - 4 Tầng - Giá Chỉ 31 Tỷ",2026-06-20,đường lý thường kiệt,"Đường Lý Thường Kiệt, Phường 8, Quận Tân Bình, Hồ Chí Minh (cũ)",phường tân hòa,hồ chí minh,17828718,unknown,can_ban,nha_mat_tien,so_hong_so_do,1.0,1.0,20.0,4.0,25.0,31000000000.0,88.0,0,0,0,0,0,"1,47",63.563
https://alonhadat.com.vn/ban-nha-mt-phan-van-tri-binh-thanh-7x26-5-cn-174m-gia-30-ty-17513734.html,"Bán Nhà MT Phan Văn Trị, Bình Thạnh - 7x26,5 - CN 174m - Giá 30 Tỷ",2026-06-20,đường phan văn trị,"Đường Phan Văn Trị, Phường Bình Thạnh, Quận Bình Thạnh, Hồ Chí Minh (cũ)",phường bình thạnh,hồ chí minh,17513734,unknown,can_ban,nha_mat_tien,so_hong_so_do,1.0,1.0,20.0,7.0,27.0,30000000000.0,175.0,0,0,0,0,0,"3,32",38.042
https://alonhadat.com.vn/nha-mat-tien-dang-van-bi-khu-kinh-doanh-sam-uat-dt-8x15m-chi-30-ty-tl-18814263.html,"Nhà mặt tiền Đặng Văn Bi, khu kinh doanh sầm uất, DT 8x15m, chỉ 30 tỷ TL",2026-06-20,đường đặng văn bi,"Đường Đặng Văn Bi, Phường Trường Thọ, Thành phố Thủ Đức, Hồ Chí Minh (cũ)",phường thủ đức,hồ chí minh,18814263,unknown,can_ban,nha_mat_tien,so_hong_so_do,3.0,5.0,30.0,8.0,15.0,30000000000.0,120.0,1,1,1,1,0,"8,81",13.502
https://alonhadat.com.vn/hot-ban-nha-mt-pham-van-chi-q6-5-2x72m-cn-375-8m-3-tang-gia-32-ty-17533155.html,"Hot Bán Nhà MT Phạm Văn Chí, Q6 - 5,2x72m - CN 375,8m - 3 Tầng - Giá 32 Tỷ",2026-06-20,đường phạm văn chí,"Đường Phạm Văn Chí, Phường 7, Quận 6, Hồ Chí Minh (cũ)",phường bình tiên,hồ chí minh,17533155,unknown,can_ban,nha_mat_tien,so_hong_so_do,1.0,1.0,20.0,5.16,72.0,32000000000.0,375.0,0,0,0,0,0,"1,61",56.845
https://alonhadat.com.vn/ban-nha-mt-hoang-dieu-quan-4-13x16m-cn-167m-hd-45-tr-th-gia-chi-22-ty-17829142.html,"Bán Nhà MT  Hoàng Diệu, Quận 4 - 13x16m - CN 167m - HĐ 45 tr/th - GIá Chỉ 22 TỶ",2026-06-20,đường hoàng diệu,"Đường Hoàng Diệu, Phường 13, Quận 4, Hồ Chí Minh (cũ)",phường xóm chiếu,hồ chí minh,17829142,unknown,can_ban,nha_mat_tien,so_hong_so_do,1.0,1.0,20.0,12.0,15.0,22000000000.0,167.0,0,0,0,0,0,"1,94",29.832
https://alonhadat.com.vn/goc-3-mt-phan-dang-luu-hd-thue-50tr-th-5-4x17m-gia-chi-26-5-ty-17671363.html,"Góc 3 MT Phan Đăng Lưu - HĐ thuê 50tr/th, 5,4x17m - Giá Chỉ 26,5 Tỷ",2026-06-20,đường phan đăng lưu,"Đường Phan Đăng Lưu, Phường 3, Quận Bình Thạnh, Hồ Chí Minh (cũ)",phường gia định,hồ chí minh,17671363,unknown,can_ban,nha_mat_tien,so_hong_so_do,1.0,1.0,30.0,5.4,17.8,26500000000.0,83.0,0,0,0,0,0,"2,76",45.633
https://alonhadat.com.vn/-mat-tien-huynh-tan-phat-nha-5-tang-kinh-doanh-dang-cap-18811697.html,🏢 MẶT TIỀN HUỲNH TẤN PHÁT – NHÀ 5 TẦNG KINH DOANH ĐẲNG CẤP,2026-06-20,đường huỳnh tấn phát,"Đường Huỳnh Tấn Phát, Xã Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh (cũ)",xã nhà bè,hồ chí minh,18811697,unknown,can_ban,nha_mat_tien,so_hong_so_do,5.0,5.0,20.0,,,11800000000.0,92.0,0,0,0,0,0,"37,10",4.219
https://alonhadat.com.vn/ban-nha-mat-tien-yen-the-ngay-san-bay-tan-son-nhat-dong-tien-70-trieu-thang-18814236.html,BÁN NHÀ MẶT TIỀN YÊN THẾ – NGAY SÂN BAY TÂN SƠN NHẤT - DÒNG TIỀN 70 TRIỆU/THÁNG,2026-06-20,đường yên thế,"Đường Yên Thế, Phường 2, Quận Tân Bình, Hồ Chí Minh (cũ)",phường tân sơn hòa,hồ chí minh,18814236,unknown,can_ban,nha_mat_tien,so_hong_so_do,3.0,3.0,16.0,8.4,25.0,65000000000.0,215.0,0,0,0,0,0,"2,62",24.485
https://alonhadat.com.vn/nguyen-trai-ke-ben-bo-cong-an-cau-ong-lanh-quan-1-dt-6-8-16m-45-ty-17533360.html,NGUYỄN TRÃI KẾ BÊN BỘ CÔNG AN -CẦU ÔNG LÃNH- QUẬN 1-DT: 6.8*16M- 43 TỶ,2026-06-20,đường nguyễn trãi,"Đường Nguyễn Trãi, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh (cũ)",phường cầu ông lãnh,hồ chí minh,17533360,unknown,can_ban,nha_mat_tien,unknown,4.0,5.0,10.0,6.8,16.0,43000000000.0,105.0,0,0,0,0,0,"1,60",49.209
