training_scope,target,model,rank,source_feature,importance,importance_normalized,signed_effect,encoded_feature_count,importance_type
global,price_vnd,lightgbm,36,property_type_locality_population_density,281.0,0.010407407407407407,,1,model_feature_importance
global,price_vnd,lightgbm,37,nearest_metro_km,271.0,0.010037037037037037,,1,model_feature_importance
global,price_vnd,lightgbm,38,marketplace_count_3km,247.0,0.009148148148148148,,1,model_feature_importance
global,price_vnd,lightgbm,39,property_type_num_floors,238.0,0.008814814814814815,,1,model_feature_importance
global,price_vnd,lightgbm,40,location_cluster_20,173.0,0.006407407407407408,,20,model_feature_importance
global,price_vnd,lightgbm,41,dining_room_bin,168.0,0.006222222222222222,,1,model_feature_importance
global,price_vnd,lightgbm,42,car_parking_bin,148.0,0.005481481481481481,,1,model_feature_importance
global,price_vnd,lightgbm,43,metro_count_5km,118.0,0.00437037037037037,,1,model_feature_importance
global,price_vnd,lightgbm,44,kitchen_bin,90.0,0.0033333333333333335,,1,model_feature_importance
global,price_vnd,lightgbm,45,terrace_bin,78.0,0.0028888888888888888,,1,model_feature_importance
global,price_vnd,lightgbm,46,post_month,25.0,0.000925925925925926,,1,model_feature_importance
global,price_vnd,lightgbm,47,post_is_weekend,10.0,0.00037037037037037035,,1,model_feature_importance
global,price_vnd,lightgbm,48,property_type,10.0,0.00037037037037037035,,1,model_feature_importance
property_type_0,price_per_m2,catboost,1,area_m2,14.506275614448828,0.14506275614448824,,1,model_feature_importance
property_type_0,price_per_m2,catboost,2,locality_cv_target_median,13.850116647717075,0.1385011664771707,,1,model_feature_importance
property_type_0,price_per_m2,catboost,3,num_floors,11.659669106445518,0.11659669106445515,,1,model_feature_importance
property_type_0,price_per_m2,catboost,4,road_width_m,6.486561264559529,0.06486561264559527,,1,model_feature_importance
property_type_0,price_per_m2,catboost,5,length_m,4.400595489412664,0.04400595489412663,,1,model_feature_importance
property_type_0,price_per_m2,catboost,6,width_m,3.8791564914132164,0.03879156491413215,,1,model_feature_importance
property_type_0,price_per_m2,catboost,7,locality_population_density,3.409626359079005,0.034096263590790044,,1,model_feature_importance
property_type_0,price_per_m2,catboost,8,distance_to_center_km,2.6710150934987085,0.026710150934987076,,1,model_feature_importance
property_type_0,price_per_m2,catboost,9,num_bedrooms,2.3106673158531392,0.023106673158531387,,1,model_feature_importance
property_type_0,price_per_m2,catboost,10,post_age_days,2.1766931637973066,0.02176693163797306,,1,model_feature_importance
property_type_0,price_per_m2,catboost,11,post_day_of_month,2.158443519074014,0.021584435190740135,,1,model_feature_importance
property_type_0,price_per_m2,catboost,12,lon,2.082049672339908,0.02082049672339907,,1,model_feature_importance
property_type_0,price_per_m2,catboost,13,nearest_school_km,1.8711159800816475,0.01871115980081647,,1,model_feature_importance
property_type_0,price_per_m2,catboost,14,nearest_marketplace_km,1.8617413886490632,0.018617413886490627,,1,model_feature_importance
property_type_0,price_per_m2,catboost,15,nearest_bus_stop_km,1.8528493836316555,0.01852849383631655,,1,model_feature_importance
property_type_0,price_per_m2,catboost,16,post_weekday,1.7842357404120799,0.017842357404120792,,1,model_feature_importance
property_type_0,price_per_m2,catboost,17,mall_count_3km,1.5394744096835242,0.015394744096835238,,1,model_feature_importance
property_type_0,price_per_m2,catboost,18,nearest_supermarket_km,1.5029294897000705,0.0150292948970007,,1,model_feature_importance
property_type_0,price_per_m2,catboost,19,nearest_hospital_km,1.4534557235271393,0.01453455723527139,,1,model_feature_importance
property_type_0,price_per_m2,catboost,20,lat,1.361661412089124,0.013616614120891235,,1,model_feature_importance
property_type_0,price_per_m2,catboost,21,school_count_3km,1.3350829799397503,0.0133508297993975,,1,model_feature_importance
property_type_0,price_per_m2,catboost,22,nearest_metro_km,1.3013063421193036,0.013013063421193032,,1,model_feature_importance
property_type_0,price_per_m2,catboost,23,locality_listing_count,1.2365675648770962,0.012365675648770958,,1,model_feature_importance
property_type_0,price_per_m2,catboost,24,terrace_bin,1.2106597030156356,0.012106597030156353,,1,model_feature_importance
property_type_0,price_per_m2,catboost,25,locality_cv_target_count,1.187799994381639,0.011877999943816388,,1,model_feature_importance
property_type_0,price_per_m2,catboost,26,hospital_count_5km,1.179750498953314,0.011797504989533138,,1,model_feature_importance
property_type_0,price_per_m2,catboost,27,supermarket_count_3km,1.140954734101508,0.011409547341015078,,1,model_feature_importance
property_type_0,price_per_m2,catboost,28,car_parking_bin,1.1037432979323192,0.011037432979323188,,1,model_feature_importance
property_type_0,price_per_m2,catboost,29,bus_stop_count_1km,1.0713024977965362,0.01071302497796536,,1,model_feature_importance
property_type_0,price_per_m2,catboost,30,nearest_mall_km,0.9863888362307304,0.009863888362307302,,1,model_feature_importance
property_type_0,price_per_m2,catboost,31,locality,0.7303567719195143,0.007303567719195141,,84,model_feature_importance
property_type_0,price_per_m2,catboost,32,location_cluster_50,0.7273055860922094,0.007273055860922092,,45,model_feature_importance
property_type_0,price_per_m2,catboost,33,marketplace_count_3km,0.6914275790147962,0.00691427579014796,,1,model_feature_importance
property_type_0,price_per_m2,catboost,34,kitchen_bin,0.6640147837851212,0.00664014783785121,,1,model_feature_importance
