locality,region,locality_square,locality_population_density,Dân số năm 2024/2025 (người)
phường tân sơn nhì,hồ chí minh,"3,46",33.895,117.277
phường tân tạo,hồ chí minh,"14,71",7.707,113.363
phường tân thành,hồ chí minh,"61,63",551,33.943
phường tân thới hiệp,hồ chí minh,"8,06",20.851,168.060
phường tân thuận,hồ chí minh,"10,16",14.576,148.090
phường tân uyên,hồ chí minh,"87,61",834,73.032
phường tây hồ,hà nội,"10,72",9.340,100.122
phường tây mỗ,hà nội,"5,56",8.434,46.894
phường tây nam,hồ chí minh,"119,80",474,56.784
phường tây thạnh,hồ chí minh,"3,95",18.384,72.616
phường tây tựu,hà nội,"7,54",5.230,39.436
phường thanh liệt,hà nội,"6,44",11.838,76.238
phường thạnh mỹ tây,hồ chí minh,"4,40",34.822,153.216
phường thanh xuân,hà nội,"3,24",32.814,106.316
phường thông tây hội,hồ chí minh,"3,24",37.405,121.192
phường thới an,hồ chí minh,"14,90",8.433,125.657
phường thới hòa,hồ chí minh,"37,93",2.099,79.601
phường thủ dầu một,hồ chí minh,"15,68",5.621,88.132
phường thủ đức,hồ chí minh,"8,81",13.502,118.952
phường thuận an,hồ chí minh,"16,11",4.015,64.689
phường thuận giao,hồ chí minh,"16,81",8.970,150.781
phường thượng cát,hà nội,"14,77",1.672,24.692
phường trung mỹ tây,hồ chí minh,"6,93",18.250,126.470
phường tùng thiện,hà nội,"32,34",1.300,42.052
phường từ liêm,hà nội,"10,18",11.788,119.997
phường tương mai,hà nội,"3,56",38.284,136.292
phường văn miếu - quốc tử giám,hà nội,"1,92",55.002,105.604
phường việt hưng,hà nội,"12,91",6.444,83.188
phường vĩnh hội,hồ chí minh,"1,17",53.859,63.015
phường vĩnh hưng,hà nội,"4,47",15.114,67.561
phường vĩnh tân,hồ chí minh,"61,35",1.008,61.865
phường vĩnh tuy,hà nội,"2,33",38.877,90.583
phường vũng tàu,hồ chí minh,"16,86",6.964,117.413
phường vườn lài,hồ chí minh,"1,28",81.309,104.076
phường xóm chiếu,hồ chí minh,"1,94",29.832,57.875
phường xuân đỉnh,hà nội,"5,46",8.912,48.658
phường xuân hòa,hồ chí minh,"2,22",21.831,48.464
phường xuân phương,hà nội,"10,81",9.708,104.947
phường yên hòa,hà nội,"4,10",18.788,77.029
phường yên nghĩa,hà nội,"13,18",3.767,49.643
phường yên sở,hà nội,"5,61",7.293,40.913
