property_type,legal_status,num_floors,num_bedrooms,road_width_m,width_m,length_m,price_vnd,area_m2,dining_room_bin,kitchen_bin,terrace_bin,car_parking_bin,locality_square,locality_population_density,distance_to_center_km,nearest_school_km,school_count_3km,nearest_hospital_km,hospital_count_5km,nearest_marketplace_km,marketplace_count_3km,nearest_supermarket_km,supermarket_count_3km,nearest_mall_km,mall_count_3km,nearest_bus_stop_km,bus_stop_count_1km,nearest_metro_km
1,0,3.0,5.0,25.0,9.128709291752768,27.386127875258307,56000000000.0,250.0,0,0,0,0,15.33,5.021,4.28628517533598,0.5430295033161631,59.0,0.7572913850350793,20.0,0.4476952435649097,11.0,0.1593040851421719,32.0,0.1509150708276662,4.0,0.0,36.0,0.191421204297892
1,0,1.0,1.0,20.0,15.0,20.0,45750000000.0,305.0,0,0,0,0,19.65,3.494,8.107863130958895,0.6000846300525993,21.0,1.524086996049615,5.0,0.4037055825764102,6.0,0.4111098762258814,7.0,2.259969133675176,1.0,0.1253466986572062,12.0,4.775883638944245
1,1,1.0,2.0,10.0,4.4,9.0,5300000000.0,30.0,0,0,0,0,2.85,26.64,8.595145019539816,0.1198474119911748,104.0,1.104027598947022,36.0,0.4323543620325993,28.0,0.6969444739246097,12.0,1.782333534947693,2.0,0.260871328681729,35.0,5.088364417881627
1,0,8.0,10.0,20.0,4.0,25.0,43000000000.0,100.0,0,0,0,0,1.94,29.832,1.2735307702675205,0.1406136249362628,119.0,0.2808952950299065,80.0,0.3171644773806937,27.0,0.3141160316927794,84.0,0.7967440893228558,17.0,0.0150291938624215,64.0,0.979780462139088
1,0,3.0,31.0,3.0,18.0,20.0,45000000000.0,390.0,0,1,1,1,1.52,44.393,5.962326713697463,0.4383242321264722,201.0,0.501321871546248,76.0,0.1201895316799122,47.0,0.8517077468866106,33.0,1.4737363108523944,5.0,0.0833264569863577,72.0,5.088364417881627
1,1,1.0,1.0,20.0,9.39,35.46325878594249,13800000000.0,333.0,0,0,0,0,32.4,5.665,7.48932886994524,0.6448315462720459,43.0,0.2380804425885271,37.0,2.021535451378851,9.0,1.92248837215138,5.0,1.961152241436052,3.0,0.1549795339773221,18.0,5.088364417881627
1,1,3.0,8.0,12.0,5.0,30.0,17500000000.0,165.0,1,1,1,1,3.81,31.76,10.106378930036408,0.352938255959884,60.0,2.2960741624167174,9.0,1.4267129839212858,4.0,0.4319609580415191,9.0,3.5898742968906325,0.0,0.4141954568032266,27.0,5.088364417881627
1,0,3.0,220.0,16.0,7.211102550927978,21.633307652783937,39000000000.0,156.0,0,0,0,0,2.62,24.485,4.557522107814423,0.121901450034046,142.0,0.372705061912835,75.0,0.3350057555399626,22.0,0.3298346011531585,36.0,1.3075347650339313,6.0,0.0442449261389241,36.0,4.652140728918879
1,1,2.0,4.0,15.0,7.8,20.0,23900000000.0,156.0,0,0,0,0,2.12,42.157,6.35429173474454,0.1750195304360008,153.0,0.5225105240070275,61.0,0.45950139405485,28.0,0.4906634202464263,27.0,1.753596535716645,2.0,0.0941272756655079,48.0,5.088364417881627
1,0,5.0,8.0,16.0,4.5,26.0,13890000000.0,120.0,1,1,1,1,10.12,7.631,8.511132076400708,0.4185332425970535,76.0,1.9338599672992576,19.0,0.3787403418224322,8.0,0.353773766732773,17.0,2.4096044770268485,3.0,0.190437074846856,22.0,5.088364417881627
1,1,3.0,4.0,30.0,3.5,12.0,25000000000.0,42.0,0,0,0,0,0.99,68.299,1.4236699663337584,0.1008944875666734,173.0,0.3035788053231241,86.0,0.4773062638854318,46.0,0.3947019809617943,113.0,0.604291039900539,18.0,0.0891303616822696,90.0,1.0394068894087325
1,0,2.0,2.0,40.0,12.2,28.0,82000000000.0,320.0,0,0,0,0,2.12,42.157,32.73024799248876,0.4800900072813918,5.0,4.4845363613594165,2.0,0.941972746731735,2.0,4.705567554113852,0.0,3.8181403719301046,0.0,0.8441691967817977,4.0,5.088364417881627
