model,lr,depth,n_est,alpha,lambda,mape,subsample,iterations
xgb,0.05,10,1200.0,,,20.1144293247148,0.9,
xgb,0.05,10,1000.0,,,20.115029474275854,0.9,
xgb,0.05,10,1800.0,,,20.115589206123396,0.9,
xgb,0.02,7,1000.0,,,20.11734424552388,0.9,
lgbm,0.04,10,1500.0,0.1,0.5,20.117841651518095,,
lgbm,0.04,10,1500.0,0.2,0.5,20.11784165153041,,
lgbm,0.04,10,1500.0,0.15,0.5,20.117841651575255,,
lgbm,0.04,10,1500.0,0.05,0.5,20.117841651622857,,
xgb,0.04,10,1500.0,,,20.11813785044673,0.9,
lgbm,0.06,9,800.0,0.2,2.0,20.118872314212908,,
lgbm,0.06,9,800.0,0.15,2.0,20.11887231424036,,
lgbm,0.06,9,800.0,0.05,2.0,20.11887231425137,,
lgbm,0.06,9,800.0,0.1,2.0,20.118872314279084,,
xgb,0.04,10,1800.0,,,20.119314984764813,0.9,
catboost,0.06,8,,,,20.12046646697689,,1200.0
catboost,0.06,8,,,,20.12046646697689,,1500.0
catboost,0.06,8,,,,20.12046646697689,,1800.0
xgb,0.04,10,1200.0,,,20.120563184077874,0.9,
xgb,0.04,10,1000.0,,,20.12263825633568,0.9,
xgb,0.02,6,1200.0,,,20.12705291159778,0.8,
catboost,0.04,8,,,,20.130110752452044,,1000.0
lgbm,0.04,10,1500.0,0.2,2.0,20.132832187210767,,
lgbm,0.04,10,1500.0,0.1,2.0,20.132832187214383,,
lgbm,0.04,10,1500.0,0.05,2.0,20.132832187228463,,
lgbm,0.04,10,1500.0,0.15,2.0,20.13283218725697,,
lgbm,0.05,8,1200.0,0.15,1.0,20.138534609666706,,
lgbm,0.05,8,1200.0,0.1,1.0,20.138534609691394,,
lgbm,0.05,8,1200.0,0.2,1.0,20.138534609691554,,
lgbm,0.05,8,1200.0,0.05,1.0,20.138534609732208,,
catboost,0.03,7,,,,20.138853357999047,,1800.0
lgbm,0.05,8,1000.0,0.2,1.0,20.142149318719547,,
lgbm,0.05,8,1000.0,0.15,1.0,20.14214931873156,,
lgbm,0.05,8,1000.0,0.1,1.0,20.142149318776966,,
lgbm,0.05,8,1000.0,0.05,1.0,20.142149318784348,,
xgb,0.05,10,1500.0,,,20.142634433036857,0.8,
xgb,0.05,10,1800.0,,,20.142854008268454,0.8,
lgbm,0.05,8,1500.0,0.2,1.0,20.143391493535333,,
lgbm,0.05,8,1500.0,0.15,1.0,20.14339149354339,,
lgbm,0.05,8,1500.0,0.1,1.0,20.143391493565105,,
lgbm,0.05,8,1500.0,0.05,1.0,20.143391493589828,,
catboost,0.05,8,,,,20.14390172734698,,1000.0
xgb,0.06,8,1500.0,,,20.14458864160191,0.8,
xgb,0.05,10,1200.0,,,20.145039138417623,0.8,
xgb,0.05,10,1000.0,,,20.146135862852166,0.8,
xgb,0.06,8,1800.0,,,20.14739265399202,0.8,
xgb,0.06,8,1200.0,,,20.14865574203338,0.8,
lgbm,0.06,8,800.0,0.2,0.5,20.151628999267153,,
lgbm,0.06,8,800.0,0.15,0.5,20.151628999344055,,
lgbm,0.06,8,800.0,0.1,0.5,20.1516289993686,,
lgbm,0.06,8,800.0,0.05,0.5,20.15162899940428,,
lgbm,0.03,8,1500.0,0.2,1.0,20.151836117239437,,
lgbm,0.03,8,1500.0,0.1,1.0,20.15183611724186,,
lgbm,0.03,8,1500.0,0.05,1.0,20.1518361172549,,
lgbm,0.03,8,1500.0,0.15,1.0,20.151836117265713,,
xgb,0.06,8,1000.0,,,20.155830428564524,0.8,
lgbm,0.06,9,1200.0,0.15,2.0,20.156481075137293,,
lgbm,0.06,9,1200.0,0.05,2.0,20.15648107516437,,
lgbm,0.06,9,1200.0,0.1,2.0,20.156481075228967,,
lgbm,0.06,9,1200.0,0.2,2.0,20.156481075276826,,
lgbm,0.06,8,1200.0,0.1,0.5,20.162828783588555,,
lgbm,0.06,8,1200.0,0.2,0.5,20.16282878371858,,
lgbm,0.06,8,1200.0,0.15,0.5,20.162828783760222,,
lgbm,0.06,8,1200.0,0.05,0.5,20.162828783880478,,
lgbm,0.04,10,1200.0,0.1,0.5,20.170599854445175,,
lgbm,0.04,10,1200.0,0.2,0.5,20.170599854447996,,
lgbm,0.04,10,1200.0,0.15,0.5,20.170599854486174,,
lgbm,0.04,10,1200.0,0.05,0.5,20.170599854525754,,
catboost,0.06,8,,,,20.17089965012116,,1000.0
catboost,0.03,9,,,,20.172277910247704,,1200.0
catboost,0.06,7,,,,20.17356674831662,,1200.0
catboost,0.04,6,,,,20.178806676330918,,1800.0
lgbm,0.06,8,1500.0,0.1,0.5,20.185279765172677,,
lgbm,0.06,8,1500.0,0.15,0.5,20.185279765294776,,
lgbm,0.06,8,1500.0,0.2,0.5,20.185279765342777,,
lgbm,0.06,8,1500.0,0.05,0.5,20.18527976539175,,
xgb,0.02,6,1500.0,,,20.185645825589862,0.9,
lgbm,0.04,10,1000.0,0.2,0.5,20.18705609063497,,
lgbm,0.04,10,1000.0,0.1,0.5,20.187056090657617,,
lgbm,0.04,10,1000.0,0.15,0.5,20.18705609072417,,
lgbm,0.04,10,1000.0,0.05,0.5,20.1870560907307,,
lgbm,0.06,8,1000.0,0.2,0.5,20.18775635932207,,
lgbm,0.06,8,1000.0,0.1,0.5,20.187756359374664,,
lgbm,0.06,8,1000.0,0.15,0.5,20.187756359396058,,
lgbm,0.06,8,1000.0,0.05,0.5,20.187756359500252,,
lgbm,0.06,10,1500.0,0.05,2.0,20.187812316877622,,
lgbm,0.06,10,1500.0,0.2,2.0,20.18781231691303,,
lgbm,0.06,10,1500.0,0.1,2.0,20.187812316916336,,
lgbm,0.06,10,1500.0,0.15,2.0,20.18781231701485,,
xgb,0.06,8,1800.0,,,20.187823740868456,0.7,
catboost,0.07,7,,,,20.19209445193207,,1000.0
catboost,0.05,7,,,,20.193355060692912,,1200.0
xgb,0.06,8,1200.0,,,20.19363060824814,0.7,
xgb,0.06,8,1000.0,,,20.19412542817415,0.7,
catboost,0.03,8,,,,20.194388006550533,,1500.0
xgb,0.06,8,1500.0,,,20.19521025704197,0.7,
catboost,0.04,7,,,,20.197717453803623,,1800.0
catboost,0.04,7,,,,20.197717453803623,,1500.0
lgbm,0.04,10,800.0,0.2,0.5,20.198216233515293,,
lgbm,0.04,10,800.0,0.1,0.5,20.198216233537778,,
lgbm,0.04,10,800.0,0.15,0.5,20.198216233556565,,
lgbm,0.04,10,800.0,0.05,0.5,20.198216233585605,,
lgbm,0.04,10,1200.0,0.2,2.0,20.20097673826281,,
lgbm,0.04,10,1200.0,0.1,2.0,20.20097673829277,,
lgbm,0.04,10,1200.0,0.05,2.0,20.200976738308213,,
lgbm,0.04,10,1200.0,0.15,2.0,20.200976738313106,,
lgbm,0.06,10,1200.0,0.05,2.0,20.202697946902358,,
lgbm,0.06,10,1200.0,0.2,2.0,20.202697946929437,,
lgbm,0.06,10,1200.0,0.1,2.0,20.202697946930055,,
lgbm,0.06,10,1200.0,0.15,2.0,20.202697947031535,,
lgbm,0.04,8,1500.0,0.05,2.0,20.205287353826872,,
lgbm,0.04,8,1500.0,0.2,2.0,20.20528735387465,,
lgbm,0.04,8,1500.0,0.15,2.0,20.205287353884437,,
lgbm,0.04,8,1500.0,0.1,2.0,20.205287353938424,,
xgb,0.06,10,1500.0,,,20.206047512914616,0.8,
lgbm,0.05,9,1500.0,0.2,0.5,20.206780184970754,,
lgbm,0.05,9,1500.0,0.1,0.5,20.206780185006632,,
lgbm,0.05,9,1500.0,0.15,0.5,20.20678018505028,,
lgbm,0.05,9,1500.0,0.05,0.5,20.206780185100943,,
