street,locality,region,old_address,lat,lon,nearest_school_km,school_count_3km,nearest_hospital_km,hospital_count_5km,nearest_marketplace_km,marketplace_count_3km,nearest_supermarket_km,supermarket_count_3km,nearest_mall_km,mall_count_3km,nearest_bus_stop_km,bus_stop_count_1km,nearest_metro_km,metro_count_5km
đường bình phú 2,phường bình phú,hồ chí minh,"Đường Bình Phú 2, Phường 10, Quận 6, Hồ Chí Minh (cũ)",10.7454169,106.6349712,0.2330602650150937,0.0,0.1310703771974542,48.0,0.3671071400546797,35.0,0.5313275732101227,15.0,1.4759221011621504,3.0,0.1355369683452391,37.0,,0.0
đường hoàng diệu,phường xóm chiếu,hồ chí minh,"Đường Hoàng Diệu, Phường 12, Quận 4, Hồ Chí Minh (cũ)",10.7663363,106.7055309,0.1406136249362628,119.0,0.2808952950299065,80.0,0.3171644773806937,27.0,0.3141160316927794,84.0,0.7967440893228558,17.0,0.0150291938624215,64.0,0.979780462139088,6.0
đường đội cung,phường phú thọ,hồ chí minh,"Đường Đội Cung, Phường 11, Quận 11, Hồ Chí Minh (cũ)",10.765209,106.647683,0.4383242321264722,201.0,0.501321871546248,76.0,0.1201895316799122,47.0,0.8517077468866106,33.0,1.4737363108523944,5.0,0.0833264569863577,72.0,,0.0
đường trần não,phường an khánh,hồ chí minh,"Đường Trần Não, Phường Bình An, Thành phố Thủ Đức, Hồ Chí Minh (cũ)",10.7949602,106.7305484,0.6561629916851701,62.0,0.9356213880345662,21.0,0.452628431051221,11.0,0.7671058558033097,31.0,0.7439168201610871,5.0,0.1672563295946353,34.0,0.6992062452147358,9.0
đường an hội,phường an hội tây,hồ chí minh,"Đường An Hội, Phường 13, Quận Gò Vấp, Hồ Chí Minh (cũ)",10.8533575,106.6503032,0.352938255959884,60.0,2.2960741624167174,9.0,1.4267129839212858,4.0,0.4319609580415191,9.0,3.5898742968906325,0.0,0.4141954568032266,27.0,,0.0
đường hát giang,phường tân sơn hòa,hồ chí minh,"Đường Hát Giang, Phường 2, Quận Tân Bình, Hồ Chí Minh (cũ)",10.7971454,106.6646052,0.121901450034046,142.0,0.372705061912835,75.0,0.3350057555399626,22.0,0.3298346011531585,36.0,1.3075347650339313,6.0,0.0442449261389241,36.0,4.652140728918879,2.0
đường bàu cát,phường tân bình,hồ chí minh,"Đường Bàu Cát, Phường 14, Quận Tân Bình, Hồ Chí Minh (cũ)",10.7878255,106.6438598,0.1750195304360008,153.0,0.5225105240070275,61.0,0.45950139405485,28.0,0.4906634202464263,27.0,1.753596535716645,2.0,0.0941272756655079,48.0,,0.0
đường phạm văn bạch,phường tân sơn,hồ chí minh,"Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, Hồ Chí Minh (cũ)",10.8155712,106.6336177,0.4185332425970535,76.0,1.9338599672992576,19.0,0.3787403418224322,8.0,0.353773766732773,17.0,2.4096044770268485,3.0,0.190437074846856,22.0,,0.0
đường cộng hòa,phường tân bình,hồ chí minh,"Đường Cộng Hòa, Phường Tân Bình, Quận Tân Bình, Hồ Chí Minh (cũ)",11.0727938,106.6998522,0.4800900072813918,5.0,4.4845363613594165,2.0,0.941972746731735,2.0,,0.0,3.8181403719301046,0.0,0.8441691967817977,4.0,,0.0
đường hồ văn tắng,xã củ chi,hồ chí minh,"Đường Hồ Văn Tắng, Xã Tân Phú Trung, Huyện Củ Chi, Hồ Chí Minh (cũ)",10.9707378,106.4860235,0.4626141331778094,2.0,1.1249653160266009,1.0,0.4292908923255694,2.0,1.005708735461651,2.0,,0.0,0.2482714281583424,17.0,,0.0
